Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0402_1005Metric",117.820000,-57.000000,0.000000,top
"C2","100nF","C_0402_1005Metric",114.300000,-59.944000,90.000000,top
"C3","100nF","C_0402_1005Metric",117.820000,-55.600000,0.000000,top
"C4","100nF","C_0402_1005Metric",126.700000,-60.780000,-90.000000,top
"C5","100nF","C_0402_1005Metric",123.400000,-69.500000,180.000000,top
"C6","10nF","C_0402_1005Metric",113.792000,-64.996000,90.000000,top
"C7","1uF","C_0402_1005Metric",112.776000,-69.200000,180.000000,top
"C8","1uF","C_0402_1005Metric",112.776000,-71.120000,180.000000,top
"C9","100uF","C_0402_1005Metric",117.420000,-69.600000,0.000000,top
"C10","10pF","C_0402_1005Metric",112.100000,-61.100000,90.000000,top
"C11","10pF","C_0402_1005Metric",112.080000,-63.600000,90.000000,top
"C12","22uF","C_0805_2012Metric",131.900000,-67.700000,0.000000,top
"C13","22uF","C_0805_2012Metric",136.300000,-73.450000,90.000000,top
"D1","LED","LED_0603_1608Metric",140.600000,-74.500000,-90.000000,top
"FB1","120R","L_0603_1608Metric",114.808000,-70.104000,-90.000000,top
"J1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",131.100000,-48.600000,-90.000000,top
"J2","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",139.750000,-61.900000,90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",118.080000,-48.600000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",115.160000,-81.200000,90.000000,top
"R1","10K","R_0402_1005Metric",107.900000,-54.000000,90.000000,top
"R2","1K5","R_0402_1005Metric",130.600000,-61.300000,-90.000000,top
"R3","1K5","R_0402_1005Metric",140.600000,-71.090000,90.000000,top
"R4","1K5","R_0402_1005Metric",117.290000,-73.500000,180.000000,top
"R5","1K5","R_0402_1005Metric",119.580000,-73.500000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",103.675000,-57.650000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",120.337500,-63.250000,0.000000,top
"U3","AMS1117-3.3","SOT-223-3_TabPin2",131.000000,-73.650000,-90.000000,top
"Y1","16GHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",109.218000,-62.320000,-90.000000,top
