"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","10uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C2,C3,C4,C5","4","100nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C6","1","10nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C7,C8","2","1uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C9","1","100uF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C10,C11","2","10pF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C12,C13","2","22uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","LED","","","","LED_SMD:LED_0603_1608Metric","~"
"FB1","1","120R","","","","Inductor_SMD:L_0603_1608Metric","~"
"H1,H2,H3,H4","4","MountingHole","","Excluded from BOM","","MountingHole:MountingHole_2.2mm_M2","~"
"J1,J3,J4","3","Conn_01x04_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"J2","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Wuerth_629105150521","~"
"R1","1","10K","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2,R3,R4,R5","4","1K5","","","","Resistor_SMD:R_0402_1005Metric","~"
"SW1","1","SW_SPDT","","","","Button_Switch_SMD:SW_SPDT_PCM12","~"
"U1","1","STM32F103C8T6","","","","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf"
"U3","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"Y1","1","16GHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","~"
